DateTime,Airquality,DigitalLight.lux,Humidity,Temperature
2016-05-08T19:05:02Z,54,0,36,27
2016-05-08T20:05:25Z,63,132,36,27
2016-05-08T21:05:22Z,67,132,37,26
2016-05-08T22:05:01Z,69,132,40,26
2016-05-08T23:05:01Z,73,0,39,26
2016-05-09T00:05:01Z,72,0,40,26
2016-05-09T01:05:01Z,76,0,40,25
2016-05-09T02:05:01Z,77,0,40,25
2016-05-09T03:05:01Z,79,0,40,25
2016-05-09T04:05:01Z,80,0,41,24
2016-05-09T05:05:01Z,83,132,41,24
2016-05-09T06:05:01Z,79,NA,42,24
2016-05-09T07:05:01Z,73,NA,42,24
2016-05-09T08:05:01Z,70,NA,41,24
2016-05-09T09:05:01Z,63,NA,41,24
2016-05-09T10:05:01Z,61,NA,41,24
2016-05-09T11:05:01Z,62,NA,40,25
2016-05-09T12:05:01Z,61,NA,40,25
2016-05-09T13:05:01Z,61,705,39,25
2016-05-09T14:05:01Z,60,793,40,25
2016-05-09T15:05:01Z,63,NA,40,25
2016-05-09T16:05:01Z,63,838,40,26
2016-05-09T17:05:01Z,64,353,41,24
2016-05-09T18:05:02Z,65,44,41,24
2016-05-09T19:05:01Z,65,0,41,24
2016-05-09T20:05:01Z,67,88,48,24
2016-05-09T21:05:01Z,70,132,42,24
2016-05-09T22:05:01Z,69,0,43,24
2016-05-09T23:05:01Z,71,0,43,24
2016-05-10T00:05:01Z,73,0,43,24
2016-05-10T01:05:01Z,74,0,43,24
2016-05-10T02:05:01Z,74,0,43,24
2016-05-10T03:05:01Z,74,0,43,23
2016-05-10T04:05:01Z,74,0,43,23
2016-05-10T05:05:01Z,75,88,43,23
2016-05-10T06:05:01Z,74,132,44,23
2016-05-10T07:05:01Z,72,309,43,23
2016-05-10T08:05:01Z,71,397,44,22
2016-05-10T09:05:01Z,72,661,44,22
2016-05-10T10:05:01Z,73,NA,44,22
2016-05-10T11:05:01Z,76,NA,43,23
2016-05-10T12:05:01Z,78,793,43,24
2016-05-10T13:05:01Z,79,838,43,24
2016-05-10T14:05:01Z,79,397,42,25
2016-05-10T15:05:01Z,80,264,42,25
2016-05-10T16:05:01Z,78,88,42,25
2016-05-10T17:05:01Z,78,88,43,25
2016-05-10T18:05:01Z,82,0,43,25
2016-05-10T19:05:01Z,79,0,43,25
2016-05-10T20:05:01Z,75,0,43,25
2016-05-10T21:05:01Z,80,132,43,25
2016-05-10T22:05:01Z,70,132,44,25
2016-05-10T23:05:01Z,69,0,46,25
2016-05-11T00:05:01Z,77,0,45,25
2016-05-11T01:05:01Z,78,0,46,24
2016-05-11T02:05:01Z,78,0,46,24
2016-05-11T03:05:01Z,77,0,46,24
2016-05-11T04:05:01Z,77,0,46,24
